"","DATETIME","SDI_1776","SDI_2091","SDI_1721","SDI_1874"
"385","01/01/2022 00:00",25036.660109,733181.24659,8969839.4,10400.8776882
"386","02/01/2022 00:00",22864.126967,597592.56489,8945556.4,10631.1636905
"387","03/01/2022 00:00",24622.3444994,615768.84541,8536485,16421.7379032
"388","04/01/2022 00:00",32571.6614767,532451.07311,8025536.6,17262.5027778
"389","05/01/2022 00:00",39574.4390742,605664.46956,7516985.4,17613.6787634
"390","06/01/2022 00:00",47202.8617534,614324.59275,7187083.64,14935.9791667
"391","07/01/2022 00:00",44595.2658297,742134.78239,7041140.96,13374.0981183
"392","08/01/2022 00:00",48474.576929,896275.13815,7275375.04,9324.6424731
"393","09/01/2022 00:00",47737.6651337,664875.05016,7328170.18,9056.3541667
"394","10/01/2022 00:00",45504.6182087,574143.41557,7416605.76,6799.1182796
"395","11/01/2022 00:00",39649.597056,516496.70964,7187083.64,11980.0527778
"396","12/01/2022 00:00",32175.1706342,612928.97535,7313373.52,7127.2486559
"397","01/01/2023 00:00",22281.4580371,603602.78998,7465634.7,6704.2682258
"398","02/01/2023 00:00",20816.4087529,526239.69672,7469193.6,8885.96875
"399","03/01/2023 00:00",22561.0279297,711963.81046,7398870.26,12257.6236559
