"","DATETIME","PowerRelease","TotalRelease","BypassRelease","SpillwayRelease"
"244","05/11/2024 03:00",6235.13,6235.13,0,0
"245","05/11/2024 04:00",6932.84,6932.84,0,0
"246","05/11/2024 05:00",6932.84,6932.84,0,0
"247","05/11/2024 06:00",7684.67,7684.67,0,0
"248","05/11/2024 07:00",8054.63,8054.63,0,0
"249","05/11/2024 08:00",8054.63,8054.63,0,0
"250","05/11/2024 09:00",8058.7,8058.7,0,0
"251","05/11/2024 10:00",8190.03,8190.03,0,0
"252","05/11/2024 11:00",8190.03,8190.03,0,0
"253","05/11/2024 12:00",9007.35,9007.35,0,0
"254","05/11/2024 13:00",9853.85,9853.85,0,0
"255","05/11/2024 14:00",9853.85,9853.85,0,0
"256","05/11/2024 15:00",10933.74,10933.74,0,0
"257","05/11/2024 16:00",10933.74,10933.74,0,0
"258","05/11/2024 17:00",10945.72,10945.72,0,0
"259","05/11/2024 18:00",11159.2,11159.2,0,0
"260","05/11/2024 19:00",11159.2,11159.2,0,0
"261","05/11/2024 20:00",11107.66,11107.66,0,0
"262","05/11/2024 21:00",10971.15,10971.15,0,0
"263","05/11/2024 22:00",9666,9666,0,0
"264","05/11/2024 23:00",7581.11,7581.11,0,0
"265","05/12/2024 00:00",6281.76,6281.76,0,0
"266","05/12/2024 01:00",6281.76,6281.76,0,0
"267","05/12/2024 02:00",5927.02,5927.02,0,0
"268","05/12/2024 03:00",5941.57,5941.57,0,0
"269","05/12/2024 04:00",5941.57,5941.57,0,0
"270","05/12/2024 05:00",6030.28,6030.28,0,0
"271","05/12/2024 06:00",7899.99,7899.99,0,0
"272","05/12/2024 07:00",7899.99,7899.99,0,0
"273","05/12/2024 08:00",8285.32,8285.32,0,0
"274","05/12/2024 09:00",8531.18,8531.18,0,0
"275","05/12/2024 10:00",8531.18,8531.18,0,0
"276","05/12/2024 11:00",8686.97,8686.97,0,0
"277","05/12/2024 12:00",8686.97,8686.97,0,0
"278","05/12/2024 13:00",8938.62,8938.62,0,0
"279","05/12/2024 14:00",9759.69,9759.69,0,0
"280","05/12/2024 15:00",9759.69,9759.69,0,0
"281","05/12/2024 16:00",10960.03,10960.03,0,0
"282","05/12/2024 17:00",11037,11037,0,0
"283","05/12/2024 18:00",11037,11037,0,0
"284","05/12/2024 19:00",11025.12,11025.12,0,0
"285","05/12/2024 20:00",10822.35,10822.35,0,0
"286","05/12/2024 21:00",10822.35,10822.35,0,0
"287","05/12/2024 22:00",8222.19,8222.19,0,0
"288","05/12/2024 23:00",6946.04,6946.04,0,0
"289","05/13/2024 00:00",6946.04,6946.04,0,0
"290","05/13/2024 01:00",7190.35,7190.35,0,0
"291","05/13/2024 02:00",7185.34,7185.34,0,0
"292","05/13/2024 03:00",7185.34,7185.34,0,0
"293","05/13/2024 04:00",8399.05,8399.05,0,0
"294","05/13/2024 05:00",8399.05,8399.05,0,0
"295","05/13/2024 06:00",11367.47,11367.47,0,0
"296","05/13/2024 07:00",11367.47,11367.47,0,0
"297","05/13/2024 08:00",10063.35,10063.35,0,0
"298","05/13/2024 09:00",9650.32,9650.32,0,0
"299","05/13/2024 10:00",9650.32,9650.32,0,0
"300","05/13/2024 11:00",9595.68,9595.68,0,0
"301","05/13/2024 12:00",9595.68,9595.68,0,0
"302","05/13/2024 13:00",9968,9968,0,0
"303","05/13/2024 14:00",10909.1,10909.1,0,0
"304","05/13/2024 15:00",10909.1,10909.1,0,0
"305","05/13/2024 16:00",12167.32,12167.32,0,0
"306","05/13/2024 17:00",12167.32,12167.32,0,0
"307","05/13/2024 18:00",12163.33,12163.33,0,0
"308","05/13/2024 19:00",12163.75,12163.75,0,0
"309","05/13/2024 20:00",12163.75,12163.75,0,0
"310","05/13/2024 21:00",12151.75,12151.75,0,0
"311","05/13/2024 22:00",10116.89,10116.89,0,0
"312","05/13/2024 23:00",7883,7883,0,0
"313","05/14/2024 00:00",7177.37,7177.37,0,0
"314","05/14/2024 01:00",6930.79,6930.79,0,0
"315","05/14/2024 02:00",6930.79,6930.79,0,0
"316","05/14/2024 03:00",7218.27,7218.27,0,0
"317","05/14/2024 04:00",8675.66,8675.66,0,0
"318","05/14/2024 05:00",8675.66,8675.66,0,0
"319","05/14/2024 06:00",11854.5,11854.5,0,0
"320","05/14/2024 07:00",11854.5,11854.5,0,0
"321","05/14/2024 08:00",10471.2,10471.2,0,0
"322","05/14/2024 09:00",10167.75,10167.75,0,0
"323","05/14/2024 10:00",10167.75,10167.75,0,0
"324","05/14/2024 11:00",9647.09,9647.09,0,0
"325","05/14/2024 12:00",9647.09,9647.09,0,0
"326","05/14/2024 13:00",10866.69,10866.69,0,0
"327","05/14/2024 14:00",11387.35,11387.35,0,0
"328","05/14/2024 15:00",11387.35,11387.35,0,0
"329","05/14/2024 16:00",12101.34,12101.34,0,0
"330","05/14/2024 17:00",12158.38,12158.38,0,0
"331","05/14/2024 18:00",12158.38,12158.38,0,0
"332","05/14/2024 19:00",12158.53,12158.53,0,0
"333","05/14/2024 20:00",12141.29,12141.29,0,0
"334","05/14/2024 21:00",12141.29,12141.29,0,0
"335","05/14/2024 22:00",10924.12,10924.12,0,0
"336","05/14/2024 23:00",8633.03,8633.03,0,0
"337","05/15/2024 00:00",8633.03,8633.03,0,0
"338","05/15/2024 01:00",7462.5,7462.5,0,0
"339","05/15/2024 02:00",7427.36,7427.36,0,0
"340","05/15/2024 03:00",7427.36,7427.36,0,0
"341","05/15/2024 04:00",9613.06,9613.06,0,0
"342","05/15/2024 05:00",9613.06,9613.06,0,0
"343","05/15/2024 06:00",12131.27,12131.27,0,0
"344","05/15/2024 07:00",12131.27,12131.27,0,0
"345","05/15/2024 08:00",11176.62,11176.62,0,0
"346","05/15/2024 09:00",9027.38,9027.38,0,0
"347","05/15/2024 10:00",8769.39,8769.39,0,0
"348","05/15/2024 11:00",8715.9,8715.9,0,0
"349","05/15/2024 12:00",8715.9,8715.9,0,0
"350","05/15/2024 13:00",9156.71,9156.71,0,0
"351","05/15/2024 14:00",9771.61,9771.61,0,0
"352","05/15/2024 15:00",9771.61,9771.61,0,0
"353","05/15/2024 16:00",12158.63,12158.63,0,0
"354","05/15/2024 17:00",12276.41,12276.41,0,0
"355","05/15/2024 18:00",12276.41,12276.41,0,0
"356","05/15/2024 19:00",12510.77,12510.77,0,0
"357","05/15/2024 20:00",12136.9,12136.9,0,0
"358","05/15/2024 21:00",12136.9,12136.9,0,0
"359","05/15/2024 22:00",10891,10891,0,0
"360","05/15/2024 23:00",8687.46,8687.46,0,0
"361","05/16/2024 00:00",8687.46,8687.46,0,0
"362","05/16/2024 01:00",7885.99,7885.99,0,0
"363","05/16/2024 02:00",7431.27,7431.27,0,0
"364","05/16/2024 03:00",7431.27,7431.27,0,0
"365","05/16/2024 04:00",7703.22,7703.22,0,0
"366","05/16/2024 05:00",11904.69,11904.69,0,0
"367","05/16/2024 06:00",11904.69,11904.69,0,0
"368","05/16/2024 07:00",11124,11124,0,0
"369","05/16/2024 08:00",9009.07,9009.07,0,0
"370","05/16/2024 09:00",9009.07,9009.07,0,0
"371","05/16/2024 10:00",8647.9,8647.9,0,0
"372","05/16/2024 11:00",8647.9,8647.9,0,0
"373","05/16/2024 12:00",8507.48,8507.48,0,0
"374","05/16/2024 13:00",9138.56,9138.56,0,0
"375","05/16/2024 14:00",9138.56,9138.56,0,0
"376","05/16/2024 15:00",11996.62,11996.62,0,0
"377","05/16/2024 16:00",12079.48,12079.48,0,0
"378","05/16/2024 17:00",12079.48,12079.48,0,0
"379","05/16/2024 18:00",12098.83,12098.83,0,0
"380","05/16/2024 19:00",12131.75,12131.75,0,0
"381","05/16/2024 20:00",12131.75,12131.75,0,0
"382","05/16/2024 21:00",12081.31,12081.31,0,0
"383","05/16/2024 22:00",11007.86,11007.86,0,0
"384","05/16/2024 23:00",8637,8637,0,0
"385","05/17/2024 00:00",7698.03,7698.03,0,0
"386","05/17/2024 01:00",6935.99,6935.99,0,0
"387","05/17/2024 02:00",6935.99,6935.99,0,0
"388","05/17/2024 03:00",6922.48,6922.48,0,0
"389","05/17/2024 04:00",8352.25,8352.25,0,0
"390","05/17/2024 05:00",8352.25,8352.25,0,0
"391","05/17/2024 06:00",11621.44,11621.44,0,0
"392","05/17/2024 07:00",11487.49,11487.49,0,0
"393","05/17/2024 08:00",10099,10099,0,0
"394","05/17/2024 09:00",8199.84,8199.84,0,0
"395","05/17/2024 10:00",8016.34,8016.34,0,0
"396","05/17/2024 11:00",8016.34,8016.34,0,0
"397","05/17/2024 12:00",8957.11,8957.11,0,0
"398","05/17/2024 13:00",8957.11,8957.11,0,0
"399","05/17/2024 14:00",9221.22,9221.22,0,0
"400","05/17/2024 15:00",11895.65,11895.65,0,0
"401","05/17/2024 16:00",11895.65,11895.65,0,0
"402","05/17/2024 17:00",12063.26,12063.26,0,0
"403","05/17/2024 18:00",12023.81,12023.81,0,0
"404","05/17/2024 19:00",12023.81,12023.81,0,0
"405","05/17/2024 20:00",12051.88,12051.88,0,0
"406","05/17/2024 21:00",12037.37,12037.37,0,0
"407","05/17/2024 22:00",10979,10979,0,0
"408","05/17/2024 23:00",8664.17,8664.17,0,0
"409","05/18/2024 00:00",6710.12,6710.12,0,0
"410","05/18/2024 01:00",6710.12,6710.12,0,0
"411","05/18/2024 02:00",6241.73,6241.73,0,0
"412","05/18/2024 03:00",6160.53,6160.53,0,0
"413","05/18/2024 04:00",6160.53,6160.53,0,0
"414","05/18/2024 05:00",8592.82,8592.82,0,0
"415","05/18/2024 06:00",9067.64,9067.64,0,0
"416","05/18/2024 07:00",9067.64,9067.64,0,0
"417","05/18/2024 08:00",9798.56,9798.56,0,0
"418","05/18/2024 09:00",8104.61,8104.61,0,0
"419","05/18/2024 10:00",8104.61,8104.61,0,0
"420","05/18/2024 11:00",7990.81,7990.81,0,0
"421","05/18/2024 12:00",7990.81,7990.81,0,0
"422","05/18/2024 13:00",8225.11,8225.11,0,0
"423","05/18/2024 14:00",8412.21,8412.21,0,0
"424","05/18/2024 15:00",8412.21,8412.21,0,0
"425","05/18/2024 16:00",10954.88,10954.88,0,0
"426","05/18/2024 17:00",11251.78,11251.78,0,0
"427","05/18/2024 18:00",11251.78,11251.78,0,0
"428","05/18/2024 19:00",11254.16,11254.16,0,0
"429","05/18/2024 20:00",11186.99,11186.99,0,0
"430","05/18/2024 21:00",9432,9432,0,0
"431","05/18/2024 22:00",9478.55,9478.55,0,0
"432","05/18/2024 23:00",7063.67,7063.67,0,0
"433","05/19/2024 00:00",7063.67,7063.67,0,0
"434","05/19/2024 01:00",6108.11,6108.11,0,0
"435","05/19/2024 02:00",5994.5,5994.5,0,0
"436","05/19/2024 03:00",5994.5,5994.5,0,0
"437","05/19/2024 04:00",6081.77,6081.77,0,0
"438","05/19/2024 05:00",6951.06,6951.06,0,0
"439","05/19/2024 06:00",6951.06,6951.06,0,0
"440","05/19/2024 07:00",8646.16,8646.16,0,0
"441","05/19/2024 08:00",8662.47,8662.47,0,0
"442","05/19/2024 09:00",8662.47,8662.47,0,0
"443","05/19/2024 10:00",8086.65,8086.65,0,0
"444","05/19/2024 11:00",8101.24,8101.24,0,0
"445","05/19/2024 12:00",8101.24,8101.24,0,0
"446","05/19/2024 13:00",8716.26,8716.26,0,0
"447","05/19/2024 14:00",8716.26,8716.26,0,0
"448","05/19/2024 15:00",8966.88,8966.88,0,0
"449","05/19/2024 16:00",10930.96,10930.96,0,0
"450","05/19/2024 17:00",10930.96,10930.96,0,0
"451","05/19/2024 18:00",11026.21,11026.21,0,0
"452","05/19/2024 19:00",11062.48,11062.48,0,0
"453","05/19/2024 20:00",11062.48,11062.48,0,0
"454","05/19/2024 21:00",10254.76,10254.76,0,0
"455","05/19/2024 22:00",8481.79,8481.79,0,0
"456","05/19/2024 23:00",8481.79,8481.79,0,0
"457","05/20/2024 00:00",7059.63,7059.63,0,0
"458","05/20/2024 01:00",7034.55,7034.55,0,0
"459","05/20/2024 02:00",7034.55,7034.55,0,0
"460","05/20/2024 03:00",6960.43,6960.43,0,0
"461","05/20/2024 04:00",8502.49,8502.49,0,0
"462","05/20/2024 05:00",8502.49,8502.49,0,0
"463","05/20/2024 06:00",11225.86,11225.86,0,0
"464","05/20/2024 07:00",11225.86,11225.86,0,0
"465","05/20/2024 08:00",11201.63,11201.63,0,0
"466","05/20/2024 09:00",9842.28,9842.28,0,0
"467","05/20/2024 10:00",9842.28,9842.28,0,0
"468","05/20/2024 11:00",10051.93,10051.93,0,0
"469","05/20/2024 12:00",10051.93,10051.93,0,0
"470","05/20/2024 13:00",10291.48,10291.48,0,0
"471","05/20/2024 14:00",12013.1,12013.1,0,0
"472","05/20/2024 15:00",12013.1,12013.1,0,0
"473","05/20/2024 16:00",12172.55,12172.55,0,0
"474","05/20/2024 17:00",12155.91,12155.91,0,0
"475","05/20/2024 18:00",12155.91,12155.91,0,0
"476","05/20/2024 19:00",12179.29,12179.29,0,0
"477","05/20/2024 20:00",12153.39,12153.39,0,0
"478","05/20/2024 21:00",10890,10890,0,0
"479","05/20/2024 22:00",9818.73,9818.73,0,0
"480","05/20/2024 23:00",7490.95,7490.95,0,0
"481","05/21/2024 00:00",7490.95,7490.95,0,0
"482","05/21/2024 01:00",7579.84,7579.84,0,0
"483","05/21/2024 02:00",7415.43,7415.43,0,0
"484","05/21/2024 03:00",7415.43,7415.43,0,0
"485","05/21/2024 04:00",9739.3,9739.3,0,0
"486","05/21/2024 05:00",12016.99,12016.99,0,0
"487","05/21/2024 06:00",12016.99,12016.99,0,0
"488","05/21/2024 07:00",12150.23,12150.23,0,0
"489","05/21/2024 08:00",10689.52,10689.52,0,0
"490","05/21/2024 09:00",9168,9168,0,0
"491","05/21/2024 10:00",8916.15,8916.15,0,0
"492","05/21/2024 11:00",8916.15,8916.15,0,0
"493","05/21/2024 12:00",9398.56,9398.56,0,0
"494","05/21/2024 13:00",8060.95,8060.95,0,0
"495","05/21/2024 14:00",9450,9450,0,0
"496","05/21/2024 15:00",11977,11977,0,0
