,2017,,Pre 2017,,Difference,
 ELEVATION (feet) , Active Storage (million acre-feet) , Area (acres) , Active Storage (million acre-feet) , Area (acres) ,Volume (million acre-feet),Area (acres)
3569, 8.4 ," 74,889 ", 9.0 ," 80,340 ", 0.6 ," 5,451 "
3570, 8.5 ," 75,348 ", 9.1 ," 80,824 ", 0.6 ," 5,476 "
3571, 8.6 ," 75,814 ", 9.2 ," 81,308 ", 0.6 ," 5,494 "
3572, 8.7 ," 76,274 ", 9.3 ," 81,793 ", 0.6 ," 5,519 "
3573, 8.7 ," 76,731 ", 9.4 ," 82,277 ", 0.6 ," 5,545 "
3574, 8.8 ," 77,180 ", 9.4 ," 82,761 ", 0.6 ," 5,581 "
3575, 8.9 ," 77,624 ", 9.5 ," 83,246 ", 0.6 ," 5,621 "
3576, 9.0 ," 78,063 ", 9.6 ," 83,730 ", 0.6 ," 5,666 "
3577, 9.1 ," 78,507 ", 9.7 ," 84,214 ", 0.6 ," 5,707 "
3578, 9.1 ," 78,967 ", 9.8 ," 84,698 ", 0.6 ," 5,732 "
3579, 9.2 ," 79,420 ", 9.9 ," 85,183 ", 0.6 ," 5,763 "
3580, 9.3 ," 79,896 ", 9.9 ," 85,667 ", 0.6 ," 5,771 "
3581, 9.4 ," 80,372 ", 10.0 ," 86,153 ", 0.7 ," 5,781 "
3582, 9.5 ," 80,827 ", 10.1 ," 86,639 ", 0.7 ," 5,812 "
3583, 9.5 ," 81,276 ", 10.2 ," 87,125 ", 0.7 ," 5,849 "
3584, 9.6 ," 81,726 ", 10.3 ," 87,611 ", 0.7 ," 5,885 "
3585, 9.7 ," 82,177 ", 10.4 ," 88,097 ", 0.7 ," 5,920 "
3586, 9.8 ," 82,626 ", 10.5 ," 88,583 ", 0.7 ," 5,957 "
3587, 9.9 ," 83,077 ", 10.6 ," 89,069 ", 0.7 ," 5,992 "
3588, 9.9 ," 83,534 ", 10.6 ," 89,555 ", 0.7 ," 6,021 "
3589, 10.0 ," 84,004 ", 10.7 ," 90,041 ", 0.7 ," 6,037 "
3590, 10.1 ," 84,494 ", 10.8 ," 90,527 ", 0.7 ," 6,033 "
3591, 10.2 ," 85,528 ", 10.9 ," 91,013 ", 0.7 ," 5,485 "
3592, 10.3 ," 86,037 ", 11.0 ," 91,499 ", 0.7 ," 5,462 "
3593, 10.4 ," 86,546 ", 11.1 ," 91,985 ", 0.7 ," 5,439 "
3594, 10.5 ," 87,050 ", 11.2 ," 92,471 ", 0.7 ," 5,421 "
3595, 10.5 ," 87,536 ", 11.3 ," 92,957 ", 0.7 ," 5,421 "
3596, 10.6 ," 88,017 ", 11.4 ," 93,443 ", 0.7 ," 5,426 "
3597, 10.7 ," 88,500 ", 11.5 ," 93,929 ", 0.7 ," 5,429 "
3598, 10.8 ," 89,030 ", 11.6 ," 94,415 ", 0.7 ," 5,385 "
3599, 10.9 ," 89,541 ", 11.7 ," 94,901 ", 0.8 ," 5,360 "
3600, 11.0 ," 90,083 ", 11.8 ," 95,387 ", 0.8 ," 5,304 "
3601, 11.1 ," 90,663 ", 11.8 ," 95,914 ", 0.8 ," 5,251 "
