"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin","RangeError","Range"
"61",3400,693665,2588665,26062.0000001,149335.260000573,169403.00000065,127703.80000049,146078.655,0.326530612244898,0.02084960000008
"62",3400.5,706720.89,2601720.89,26161.5700001,149905.796100573,170050.20500065,128191.69300049,146646.065000001,0.326530612244898,0.02092925600008
"63",3401,719826.57,2614826.57,26261.15,150476.3895,170697.475,128679.635,147213.765,0.326530612244898,0.02100892
"64",3401.5,732982.04,2627982.04,26360.72,151046.9256,171344.68,129167.528,147781.755,0.326530612244898,0.021088576
"65",3402,746187.3,2641187.3,26460.3000001,151617.519000573,171991.95000065,129655.47000049,148350.035,0.326530612244898,0.02116824000008
"66",3402.5,759442.34,2654442.34,26559.8700001,152188.055100573,172639.15500065,130143.36300049,148918.595,0.326530612244898,0.02124789600008
"67",3403,772747.17,2667747.17,26659.45,152758.6485,173286.425,130631.305,149487.445000001,0.326530612244898,0.02132756
"68",3403.5,786101.79,2681101.79,26759.02,153329.1846,173933.63,131119.198,150056.585000001,0.326530612244898,0.021407216
"69",3404,799506.2,2694506.2,26858.6000001,153899.778000573,174580.90000065,131607.14000049,150626.015,0.326530612244898,0.02148688000008
"70",3404.5,812960.39,2707960.39,26958.1700001,154470.314100573,175228.10500065,132095.03300049,151195.725,0.326530612244898,0.02156653600008
"71",3405,826464.370004,2721464.370004,27057.75,155040.9075,175875.375,132582.975,151765.725004,0.326530612244898,0.0216462
"72",3405.5,840018.14,2735018.14,27157.32,155611.4436,176522.58,133070.868,152336.015,0.326530612244898,0.021725856
"73",3406,853621.700003,2748621.700003,27256.9000001,156182.037000573,177169.85000065,133558.81000049,152906.519403,0.326530612244898,0.02180552000008
"74",3406.5,867275.040001,2762275.040001,27356.4700001,156752.573100573,177817.05500065,134046.70300049,153477.082801001,0.326530612244898,0.02188517600008
"75",3407,880978.169999,2775978.169999,27456.0499999,157323.166499427,178464.32499935,134534.64499951,154047.646199001,0.326530612244898,0.02196483999992
"76",3407.5,894731.089997,2789731.089997,27555.6199999,157893.702599427,179111.52999935,135022.53799951,154618.209597,0.326530612244898,0.02204449599992
"77",3408,908533.800002,2803533.800002,27655.2000001,158464.296000573,179758.80000065,135510.48000049,155188.778402,0.326530612244898,0.02212416000008
"78",3408.5,922386.290002,2817386.290002,27754.7700001,159034.832100573,180406.00500065,135998.37300049,155759.341802001,0.326530612244898,0.02220381600008
"79",3409,936288.570001,2831288.570001,27854.3499999,159605.425499427,181053.27499935,136486.31499951,156329.905201,0.326530612244898,0.02228347999992
"80",3409.5,950240.64,2845240.64,27953.9199999,160175.961599427,181700.47999935,136974.20799951,156900.4686,0.326530612244898,0.02236313599992
"81",3410,964242.499999,2859242.499999,28053.5,160746.555,182347.75,137462.15,157471.037399,0.326530612244898,0.0224428
"82",3410.5,978294.140001,2873294.140001,28153.0700001,161317.091100573,182994.95500065,137950.04300049,158041.600798841,0.326530612244898,0.02252245600008
"83",3411,992395.570002,2887395.570002,28252.6499999,161887.684499427,183642.22499935,138437.98499951,158612.16420016,0.326530612244898,0.02260211999992
"84",3411.5,1006546.79,2901546.79,28352.2199999,162458.220599427,184289.42999935,138925.87799951,159182.727598381,0.326530612244898,0.02268177599992
"85",3412,1020747.8,2915747.8,28451.8,163028.814,184936.7,139413.82,159753.296398081,0.326530612244898,0.02276144
"86",3412.5,1034998.59,2929998.59,28551.37,163599.3501,185583.905,139901.713,160323.85980008,0.326530612244898,0.022841096
"87",3413,1049299.17,2944299.17,28650.9499999,164169.943499427,186231.17499935,140389.65499951,160894.42320208,0.326530612244898,0.02292075999992
"88",3413.5,1063649.54,2958649.54,28750.5199999,164740.479599427,186878.37999935,140877.54799951,161464.986600301,0.326530612244898,0.02300041599992
"89",3414,1078049.7,2973049.7,28850.1,165311.073,187525.65,141365.49,162035.555398,0.326530612244898,0.02308008
"90",3414.5,1092499.64,2987499.64,28949.67,165881.6091,188172.855,141853.383,162606.11879854,0.326530612244898,0.023159736
"91",3415,1106999.37,3001999.37,29049.2499999,166452.202499427,188820.12499935,142341.32499951,163176.682199541,0.326530612244898,0.02323939999992
"92",3415.5,1121548.89,3016548.89,29148.8199999,167022.738599427,189467.32999935,142829.21799951,163747.24560054,0.326530612244898,0.02331905599992
"93",3416,1136148.2,3031148.2,29248.4,167593.332,190114.6,143317.16,164317.81439992,0.326530612244898,0.02339872
